timesteps,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,reward_threshold,threshold_streak,n_eval_episodes,environment,environment_id,seed
210000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
220000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
230000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
240000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
250000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
260000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
270000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
280000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
290000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
300000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
310000,-0.05,0.2179449471770336,243.5,54.48623679425842,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
320000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
330000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
340000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
350000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
360000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
370000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
380000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
390000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
400000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
410000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
420000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
430000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
440000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
450000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
460000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
470000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
480000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
490000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
500000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,0
10000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
20000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
30000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
40000,-0.05,0.2179449471770336,243.6,54.05034689990436,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
50000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
60000,-0.05,0.2179449471770336,243.9,52.74267721684215,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
70000,-0.15,0.3570714214271425,219.05,88.04628044386656,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
80000,-0.05,0.2179449471770336,243.35,55.14007163578952,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
90000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
100000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
110000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
120000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
130000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
140000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
150000,-0.05,0.2179449471770336,251.75,18.525320510047862,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
160000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
170000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
180000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
190000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
200000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
210000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
220000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
230000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
240000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
250000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
260000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
270000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
280000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
